Season,Race,Track,Type,Pole Position,Winner,Winning Team,Winning Engine
2003,Belterra Casino Indy 300,Kentucky Speedway,Oval,Sam Hornish Jr.,Sam Hornish Jr.,Panther Racing,Chevrolet
2003,Firestone Indy 225,Nazareth Speedway,Oval,Scott Dixon,Hélio Castroneves,Marlboro Team Penske,Toyota
2003,Delphi Indy 300,Chicagoland Speedway,Oval,Richie Hearn,Sam Hornish Jr.,Panther Racing,Chevrolet
2003,Toyota Indy 400,California Speedway,Oval,Hélio Castroneves,Sam Hornish Jr.,Panther Racing,Chevrolet
2003,Chevy 500,Texas Motor Speedway,Oval,Gil de Ferran,Gil de Ferran,Marlboro Team Penske,Toyota
2004,Toyota Indy 300,Homestead-Miami Speedway,Oval,Buddy Rice,Sam Hornish Jr.,Marlboro Team Penske,Toyota
2004,Copper World Indy 200,Phoenix International Raceway,Oval,Dan Wheldon,Tony Kanaan,Andretti Green Racing,Honda
2004,Indy Japan 300,Twin Ring Motegi,Oval,Dan Wheldon,Dan Wheldon,Andretti Green Racing,Honda
2004,88th Indianapolis 500,Indianapolis Motor Speedway,Oval,Buddy Rice,Buddy Rice,Rahal Letterman Racing,Honda
2004,Bombardier 500,Texas Motor Speedway,Oval,Dario Franchitti,Tony Kanaan,Andretti Green Racing,Honda
2004,SunTrust Indy Challenge,Richmond International Raceway,Oval,Hélio Castroneves,Dan Wheldon,Andretti Green Racing,Honda
2004,Argent Mortgage 300,Kansas Speedway,Oval,Buddy Rice,Buddy Rice,Rahal Letterman Racing,Honda
2004,Firestone Indy 200,Nashville Superspeedway,Oval,Buddy Rice,Tony Kanaan,Andretti Green Racing,Honda
2004,Menards A. J. Foyt 225,The Milwaukee Mile,Oval,Vítor Meira,Dario Franchitti,Andretti Green Racing,Honda
2004,Michigan Indy 400,Michigan International Speedway,Oval,Tony Kanaan,Buddy Rice,Rahal Letterman Racing,Honda
2004,Belterra Casino Indy 300,Kentucky Speedway,Oval,Buddy Rice,Adrián Fernández,Aguri-Fernández Racing,Honda
2004,Honda Indy 225,Pikes Peak International Raceway,Oval,Tony Kanaan,Dario Franchitti,Andretti Green Racing,Honda
2004,Firestone Indy 225,Nazareth Speedway,Oval,Hélio Castroneves,Dan Wheldon,Andretti Green Racing,Honda
2004,Delphi Indy 300,Chicagoland Speedway,Oval,Hélio Castroneves,Adrián Fernández,Aguri-Fernández Racing,Honda
2004,Toyota Indy 400,California Speedway,Oval,Hélio Castroneves,Adrián Fernández,Aguri-Fernández Racing,Honda
2004,Chevy 500,Texas Motor Speedway,Oval,Hélio Castroneves,Hélio Castroneves,Marlboro Team Penske,Toyota
2005,Toyota Indy 300,Homestead-Miami Speedway,Oval,Tomas Scheckter,Dan Wheldon,Andretti Green Racing,Honda
2005,XM Satellite Radio Indy 200,Phoenix International Raceway,Oval,Bryan Herta,Sam Hornish Jr.,Marlboro Team Penske,Toyota
2005,Honda Grand Prix of St. Petersburg,Streets of St. Petersburg,Street,Bryan Herta,Dan Wheldon,Andretti Green Racing,Honda
2005,Indy Japan 300,Twin Ring Motegi,Oval,Sam Hornish Jr.,Dan Wheldon,Andretti Green Racing,Honda
2005,89th Indianapolis 500,Indianapolis Motor Speedway,Oval,Tony Kanaan,Dan Wheldon,Andretti Green Racing,Honda
2005,Bombardier Learjet 500,Texas Motor Speedway,Oval,Tomas Scheckter,Tomas Scheckter,Panther Racing,Chevrolet
2005,SunTrust Indy Challenge,Richmond International Raceway,Oval,Sam Hornish Jr.,Hélio Castroneves,Marlboro Team Penske,Toyota
2005,Argent Mortgage Indy 300,Kansas Speedway,Oval,Danica Patrick,Tony Kanaan,Andretti Green Racing,Honda
2005,Firestone Indy 200,Nashville Superspeedway,Oval,Tomas Scheckter,Dario Franchitti,Andretti Green Racing,Honda
2005,ABC Supply Company A. J. Foyt 225,The Milwaukee Mile,Oval,Sam Hornish Jr.,Sam Hornish Jr.,Marlboro Team Penske,Toyota
2005,Firestone Indy 400,Michigan International Speedway,Oval,Bryan Herta,Bryan Herta,Andretti Green Racing,Honda
2005,AMBER Alert Portal Indy 300,Kentucky Speedway,Oval,Danica Patrick,Scott Sharp,Aguri-Fernández RacingDelphi Fernández Racing,Honda
2005,Honda Indy 225,Pikes Peak International Raceway,Oval,Hélio Castroneves,Dan Wheldon,Andretti Green Racing,Honda
2005,Argent Mortgage Indy Grand Prix,Infineon Raceway,Road,Ryan Briscoe,Tony Kanaan,Andretti Green Racing,Honda
2005,Peak Antifreeze Indy 300,Chicagoland Speedway,Oval,Danica Patrick,Dan Wheldon,Andretti Green Racing,Honda
2005,Watkins Glen Indy Grand Prix,Watkins Glen International,Road,Hélio Castroneves,Scott Dixon,Target Chip Ganassi Racing,Toyota
2005,Toyota Indy 400,California Speedway,Oval,Dario Franchitti,Dario Franchitti,Andretti Green Racing,Honda
2006,Toyota Indy 300,Homestead-Miami Speedway,Oval,Sam Hornish Jr.,Dan Wheldon,Target Chip Ganassi Racing,Honda
2006,Honda Grand Prix of St. Petersburg,Streets of St. Petersburg,Street,Dario Franchitti,Hélio Castroneves,Marlboro Team Penske,Honda
2006,Indy Japan 300,Twin Ring Motegi,Oval,Hélio Castroneves,Hélio Castroneves,Marlboro Team Penske,Honda
2006,90th Indianapolis 500,Indianapolis Motor Speedway,Oval,Sam Hornish Jr.,Sam Hornish Jr.,Marlboro Team Penske,Honda
2006,Watkins Glen Indy Grand Prix presented by Tissot,Watkins Glen International,Road,Hélio Castroneves,Scott Dixon,Target Chip Ganassi Racing,Honda
2006,Bombardier Learjet 500,Texas Motor Speedway,Oval,Sam Hornish Jr.,Hélio Castroneves,Marlboro Team Penske,Honda
2006,SunTrust Indy Challenge,Richmond International Raceway,Oval,Hélio Castroneves,Sam Hornish Jr.,Marlboro Team Penske,Honda
2006,Kansas Lottery Indy 300,Kansas Speedway,Oval,Dan Wheldon,Sam Hornish Jr.,Marlboro Team Penske,Honda
2006,Firestone Indy 200,Nashville Superspeedway,Oval,Dan Wheldon,Scott Dixon,Target Chip Ganassi Racing,Honda
2006,ABC Supply Company A. J. Foyt 225,The Milwaukee Mile,Oval,Hélio Castroneves,Tony Kanaan,Andretti Green Racing,Honda
2006,Firestone Indy 400,Michigan International Speedway,Oval,Hélio Castroneves,Hélio Castroneves,Marlboro Team Penske,Honda
2006,Meijer Indy 300 presented by Coca-Cola and Secret,Kentucky Speedway,Oval,Hélio Castroneves,Sam Hornish Jr.,Marlboro Team Penske,Honda
